datetime;open;high;low;close;volume
2025-07-21;27.56000;28.5;24.83000;25.60000;449912300
2025-07-28;26.38000;28.16000;22.57000;24.080000;552674100
2025-08-04;24.59000;25.88000;22.95000;25.71000;477763000
2025-08-11;26.030001;29.66000;25.45000;27.37000;468708000
2025-08-18;27.10000;28.32000;23.66000;27.45000;428554000
2025-08-25;27.35000;29.11000;25.67000;26.040001;356815900
2025-09-01;24.080000;26.97000;23.80000;26.45000;373779500
2025-09-08;26.96000;29.61000;26.57000;29.30000;337368000
2025-09-15;29.14000;34.14000;28.92000;33.020000;366519500
2025-09-22;33.20000;35.30000;31.36000;34.020000;325893900
2025-09-29;35.029999;40.060001;33.57000;38.23000;322472100
2025-10-06;42.83000;43.37000;34.17000;34.21000;541360600
2025-10-13;38.23000;41.93000;35.95000;40.29000;467172500
2025-10-20;41.16000;44.16000;35.97000;43.14000;369797400
2025-10-27;45.49000;50.76000;45.14000;47.78000;367554600
2025-11-03;49.5;50.19000;37.040001;41.74000;466266900
2025-11-10;45.060001;45.52000;35.15000;38.86000;484339200
2025-11-17;37.90000;40.080002;28.12000;31.73000;810332800
2025-11-24;32.69000;41.33000;32.049999;41.26000;378861500
2025-12-01;39.58000;48.049999;39.46000;46.5;440168400
2025-12-08;47.56000;50.090000;41.060001;41.71000;442902600
2025-12-15;43.11000;43.42000;35.70000;41.72000;488592300
2025-12-22;44.45000;44.79000;42.22000;44.21000;175897300
2025-12-29;42.98000;48.090000;42.0099983;47.24000;272784000
2026-01-05;50.35000;54.76000;48.13000;53.95000;420423800
2026-01-12;52.39000;62.19000;52.35000;60.75;333747800
2026-01-19;57.34000;66.96000;57.22000;61.60000;295643400
2026-01-26;60.75;71.98000;59.60000;61.79000;339515700
2026-02-02;59.46000;67.62000;49.33000;61.75;525393400
2026-02-09;59.99000;70.86000;59.29000;64.59000;385496000
2026-02-16;62.020000;68.45000;59.56000;67.11000;298614800
2026-02-23;65.85000;72.36000;60.66000;62.77000;354648300
2026-03-02;58.11000;62.82000;46.80000;47.89000;526338700
2026-03-09;45.51000;57.78000;44.53000;50.72000;491541700
2026-03-16;54.060001;56.48000;48.5;51.14000;410362600
2026-03-23;54.63000;58.25;45.96000;46.61000;507856400
2026-03-30;47.86000;54.090000;39.52000;52.75;504175600
2026-04-06;53.75;78.30000;52.13000;76.39000;445999400
2026-04-13;75.59000;94.75;75.25;94.68000;325445900
2026-04-20;95.97000;130.12000;92.029999;128.32001;352342500
2026-04-27;128.33000;131.38000;103.99000;130.39999;322415000
2026-05-04;132.20000;177.5;123.80000;176.94000;283556700
2026-05-11;181;191.28999;150.58000;164.17999;307169500
